"행정구역","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"전라남도 순천시 왕조1동(4615066100)","19,936","19,936","1,691","2,361","3,360","2,535","2,980","3,784","2,253","730","216","26","0","20,394","20,394","1,603","2,253","2,975","2,390","3,471","3,975","2,174","878","572","98","5"
"전라남도 순천시 왕조2동(4615066500)","9,232","9,232","745","1,145","1,707","1,161","1,377","1,854","927","228","80","8","0","9,491","9,491","741","1,176","1,397","1,103","1,704","1,999","886","298","157","30","0"
"전라남도 나주시 (4617000000)","58,689","58,689","4,901","4,968","6,245","7,360","9,207","9,659","8,817","5,071","2,216","238","7","57,595","57,595","4,604","4,709","5,552","6,789","7,610","7,859","8,375","6,235","4,956","880","26"
"전라남도 나주시 남평읍(4617025000)","6,000","6,000","534","401","563","753","959","1,002","1,052","525","189","21","1","5,989","5,989","495","405","484","729","755","955","1,034","625","432","75","0"
"전라남도 나주시 세지면(4617031000)","1,294","1,294","15","72","101","67","139","265","314","210","102","9","0","1,244","1,244","15","58","78","50","69","167","259","265","233","49","1"
"전라남도 나주시 왕곡면(4617032000)","1,467","1,467","28","56","138","104","149","315","344","214","111","8","0","1,344","1,344","27","53","89","54","80","186","294","247","264","49","1"
"전라남도 나주시 반남면(4617033000)","684","684","10","18","50","44","70","142","167","122","49","12","0","695","695","11","18","35","13","39","102","142","146","158","31","0"
"전라남도 나주시 공산면(4617034000)","1,142","1,142","33","66","84","62","126","222","268","176","104","1","0","1,095","1,095","33","47","55","42","75","133","240","214","223","30","3"
"전라남도 나주시 동강면(4617035000)","1,192","1,192","16","39","92","57","132","207","322","209","100","18","0","1,193","1,193","29","29","52","41","62","145","262","267","262","44","0"
"전라남도 나주시 다시면(4617036000)","1,782","1,782","22","81","136","119","197","325","460","274","152","16","0","1,750","1,750","31","58","89","69","98","258","414","358","318","54","3"
"전라남도 나주시 문평면(4617037000)","925","925","14","21","61","45","96","187","254","146","94","7","0","956","956","17","22","36","37","43","128","212","200","220","37","4"
"전라남도 나주시 노안면(4617038000)","2,323","2,323","44","78","174","143","227","506","607","343","174","25","2","2,164","2,164","31","61","126","92","111","338","519","394","400","90","2"
"전라남도 나주시 금천면(4617039000)","2,202","2,202","63","109","190","174","269","440","473","322","151","11","0","1,950","1,950","49","89","139","106","158","263","423","403","275","43","2"
"전라남도 나주시 산포면(4617040000)","1,722","1,722","31","65","151","131","215","389","385","245","98","12","0","1,568","1,568","35","56","116","83","109","254","351","272","252","40","0"
