"행정구역","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"서울특별시  (1100000000)","4,605,655","4,605,655","289,913","385,355","677,376","714,657","728,070","742,728","609,843","322,737","123,551","11,000","425","4,889,152","4,889,152","274,826","367,630","735,346","716,071","742,853","764,652","680,898","387,693","186,351","31,531","1,301"
"서울특별시 종로구 (1111000000)","69,513","69,513","3,385","5,035","10,818","9,634","9,937","12,381","10,234","5,200","2,577","298","14","74,111","74,111","3,318","5,141","11,856","9,729","10,603","12,364","10,171","6,437","3,813","653","26"
"서울특별시 종로구 청운효자동(1111051500)","5,430","5,430","358","599","732","699","910","868","646","370","226","21","1","6,373","6,373","338","536","769","839","1,162","1,037","759","564","321","46","2"
"서울특별시 종로구 사직동(1111053000)","4,154","4,154","269","289","512","638","637","703","573","290","205","37","1","5,156","5,156","266","375","656","834","799","840","631","420","284","51","0"
"서울특별시 종로구 삼청동(1111054000)","1,130","1,130","42","95","145","131","165","187","186","110","54","14","1","1,256","1,256","49","72","149","163","176","183","221","128","99","14","2"
"서울특별시 종로구 부암동(1111055000)","4,490","4,490","232","462","608","596","679","769","625","334","166","19","0","4,942","4,942","240","371","585","593","842","892","713","401","243","58","4"
"서울특별시 종로구 평창동(1111056000)","8,368","8,368","603","752","1,112","1,003","1,192","1,462","1,285","600","319","38","2","9,595","9,595","534","791","1,146","1,143","1,469","1,794","1,410","723","466","113","6"
"서울특별시 종로구 무악동(1111057000)","3,782","3,782","272","422","405","398","645","729","502","250","146","12","1","4,368","4,368","336","534","456","474","724","709","551","341","212","27","4"
"서울특별시 종로구 교남동(1111058000)","4,580","4,580","395","366","543","692","827","767","550","273","158","9","0","5,367","5,367","404","415","616","849","941","821","645","433","217","24","2"
"서울특별시 종로구 가회동(1111060000)","1,846","1,846","98","145","210","246","322","325","264","154","76","6","0","2,180","2,180","77","155","258","288","346","373","305","227","123","28","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,270","4,270","91","107","483","555","557","868","923","458","208","16","4","2,929","2,929","87","100","500","410","351","393","477","355","209","46","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,685","2,685","40","89","515","443","311","510","444","224","98","10","1","2,371","2,371","46","106","616","316","207","371","318","244","127","19","1"
"서울특별시 종로구 이화동(1111064000)","3,431","3,431","107","166","759","603","445","551","424","251","108","16","1","3,800","3,800","109","181","868","613","442","542","491","319","207","27","1"
"서울특별시 종로구 혜화동(1111065000)","7,865","7,865","297","642","2,191","1,058","978","1,134","789","484","261","30","1","8,504","8,504","305","664","2,219","952","1,064","1,227","883","674","437","76","3"
"서울특별시 종로구 창신제1동(1111067000)","2,601","2,601","60","106","314","351","285","549","574","254","98","10","0","2,256","2,256","66","92","293","226","269","431","435","268","156","20","0"
"서울특별시 종로구 창신제2동(1111068000)","4,028","4,028","101","210","559","524","498","915","732","336","133","20","0","3,809","3,809","82","188","510","389","428","841","695","439","214","23","0"
"서울특별시 종로구 창신제3동(1111069000)","3,191","3,191","177","233","461","457","424","589","515","225","91","18","1","3,305","3,305","164","217","432","443","432","632","525","270","167","23","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,819","2,819","117","176","366","392","448","549","443","227","91","10","0","3,016","3,016","104","177","391","397","420","577","484","276","161","29","0"
"서울특별시 종로구 숭인제2동(1111071000)","4,843","4,843","126","176","903","848","614","906","759","360","139","12","0","4,884","4,884","111","167","1,392","800","531","701","628","355","170","29","0"
"서울특별시 중구 (1114000000)","59,364","59,364","3,113","3,237","8,327","9,923","8,790","10,111","8,979","4,695","1,950","225","14","62,724","62,724","2,961","3,265","9,673","9,987","8,416","9,799","9,020","5,682","3,284","615","22"
"서울특별시 중구 소공동(1114052000)","1,073","1,073","82","39","105","221","262","164","132","51","15","2","0","1,164","1,164","75","84","162","273","242","146","104","52","22","4","0"
"서울특별시 중구 회현동(1114054000)","2,452","2,452","88","103","215","259","334","480","585","270","103","14","1","2,281","2,281","84","117","237","295","287","378","435","265","137","43","3"
"서울특별시 중구 명동(1114055000)","1,259","1,259","49","66","160","208","176","222","212","119","40","6","1","1,630","1,630","31","80","205","186","239","269","304","186","110","20","0"
"서울특별시 중구 필동(1114057000)","2,079","2,079","85","100","364","349","254","349","317","165","81","14","1","1,957","1,957","79","98","354","328","205","240","298","186","132","37","0"
"서울특별시 중구 장충동(1114058000)","2,427","2,427","83","153","669","374","298","314","285","167","74","10","0","2,212","2,212","70","149","555","289","256","296","261","189","128","18","1"
"서울특별시 중구 광희동(1114059000)","2,676","2,676","61","85","448","521","321","441","450","255","85","8","1","2,619","2,619","55","105","621","418","282","357","376","263","122","20","0"
"서울특별시 중구 을지로동(1114060500)","1,055","1,055","17","21","109","184","115","195","255","114","41","4","0","682","682","17","18","130","137","68","74","113","76","39","10","0"
"서울특별시 중구 신당동(1114061500)","3,795","3,795","115","120","599","648","585","706","573","322","113","11","3","3,953","3,953","146","155","797","669","482","619","531","335","178","41","0"
"서울특별시 중구 다산동(1114062500)","6,654","6,654","254","410","1,070","1,134","954","1,094","927","555","230","25","1","7,056","7,056","229","357","1,168","1,066","889","1,163","1,078","664","374","65","3"
"서울특별시 중구 약수동(1114063500)","7,665","7,665","463","471","910","1,092","1,145","1,290","1,227","712","313","41","1","8,882","8,882","492","453","1,022","1,216","1,195","1,452","1,453","905","571","120","3"
"서울특별시 중구 청구동(1114064500)","6,380","6,380","349","415","868","1,076","872","1,086","988","457","246","22","1","7,052","7,052","315","413","932","1,064","917","1,175","1,064","690","414","66","2"
"서울특별시 중구 신당제5동(1114065000)","4,988","4,988","259","246","715","835","779","978","681","329","151","14","1","5,296","5,296","271","270","879","855","737","862","687","464","237","31","3"
"서울특별시 중구 동화동(1114066500)","4,884","4,884","346","391","605","628","697","927","764","348","158","20","0","5,275","5,275","278","395","653","671","752","968","775","423","318","40","2"
"서울특별시 중구 황학동(1114067000)","6,011","6,011","358","230","870","1,409","931","882","764","421","129","17","0","6,638","6,638","336","243","1,260","1,429","922","901","784","474","236","51","2"
"서울특별시 중구 중림동(1114068000)","5,966","5,966","504","387","620","985","1,067","983","819","410","171","17","3","6,027","6,027","483","328","698","1,091","943","899","757","510","266","49","3"
"서울특별시 용산구 (1117000000)","106,743","106,743","6,306","7,352","15,159","18,760","16,401","17,739","14,240","6,989","3,341","437","19","115,520","115,520","6,038","7,174","17,265","19,120","16,913","18,312","15,121","8,997","5,490","1,032","58"
"서울특별시 용산구 후암동(1117051000)","8,110","8,110","433","617","1,195","1,444","1,222","1,344","1,059","565","203","25","3","8,526","8,526","403","513","1,156","1,329","1,283","1,388","1,210","711","444","78","11"
"서울특별시 용산구 용산2가동(1117052000)","4,503","4,503","148","248","745","850","676","627","636","386","167","20","0","4,819","4,819","140","229","678","803","618","731","756","512","294","57","1"
"서울특별시 용산구 남영동(1117053000)","4,419","4,419","85","135","440","526","615","1,106","969","383","148","11","1","2,841","2,841","77","110","465","487","359","491","428","247","143","29","5"
"서울특별시 용산구 청파동(1117055500)","8,987","8,987","297","507","1,643","1,737","1,271","1,482","1,167","575","286","21","1","10,322","10,322","302","535","2,536","1,530","1,250","1,530","1,290","832","447","67","3"
"서울특별시 용산구 원효로제1동(1117056000)","7,720","7,720","588","478","1,085","1,783","1,316","1,103","837","360","152","17","1","8,810","8,810","600","466","1,696","2,037","1,310","1,118","870","451","217","43","2"
"서울특별시 용산구 원효로제2동(1117057000)","6,456","6,456","398","469","847","1,081","1,041","1,102","865","451","178","24","0","7,256","7,256","418","653","1,029","1,087","1,044","1,163","930","533","340","56","3"
"서울특별시 용산구 효창동(1117058000)","5,088","5,088","417","389","761","923","800","802","567","274","138","17","0","5,617","5,617","406","338","847","1,017","859","901","599","392","221","37","0"
"서울특별시 용산구 용문동(1117059000)","5,632","5,632","330","369","839","982","824","966","718","416","175","13","0","6,085","6,085","351","333","878","978","857","971","856","548","265","46","2"
"서울특별시 용산구 한강로동(1117062500)","10,257","10,257","648","525","1,483","2,293","1,404","1,632","1,331","588","316","36","1","11,345","11,345","605","470","2,056","2,534","1,478","1,741","1,307","678","394","75","7"
"서울특별시 용산구 이촌제1동(1117063000)","12,022","12,022","1,265","1,347","1,263","1,372","1,968","2,121","1,452","697","444","89","4","13,619","13,619","1,126","1,321","1,350","1,736","2,394","2,301","1,515","974","743","152","7"
"서울특별시 용산구 이촌제2동(1117064000)","3,827","3,827","244","244","419","647","592","624","604","308","132","13","0","4,367","4,367","253","250","415","664","602","713","746","403","264","56","1"
"서울특별시 용산구 이태원제1동(1117065000)","3,085","3,085","104","131","528","618","415","469","465","215","118","22","0","3,223","3,223","113","125","478","505","392","517","545","312","186","50","0"
"서울특별시 용산구 이태원제2동(1117066000)","4,095","4,095","193","204","651","816","621","592","522","312","159","25","0","4,803","4,803","189","243","692","857","688","684","669","440","296","44","1"
"서울특별시 용산구 한남동(1117068500)","9,758","9,758","586","572","1,290","1,825","1,605","1,501","1,346","670","315","40","8","10,489","10,489","516","567","1,217","1,958","1,625","1,659","1,501","869","460","108","9"
"서울특별시 용산구 서빙고동(1117069000)","6,220","6,220","368","727","843","717","1,086","1,114","791","322","217","35","0","6,759","6,759","354","725","867","714","1,229","1,183","774","444","399","69","1"
"서울특별시 용산구 보광동(1117070000)","6,564","6,564","202","390","1,127","1,146","945","1,154","911","467","193","29","0","6,639","6,639","185","296","905","884","925","1,221","1,125","651","377","65","5"
"서울특별시 성동구 (1120000000)","138,162","138,162","9,576","9,382","20,951","22,607","21,495","22,561","18,629","9,042","3,590","312","17","145,659","145,659","9,143","9,503","21,697","23,511","21,363","23,119","19,408","11,189","5,823","867","36"
"서울특별시 성동구 왕십리제2동(1120052000)","7,890","7,890","589","575","1,086","1,388","1,223","1,296","1,031","490","191","20","1","8,430","8,430","571","525","1,241","1,410","1,244","1,365","1,099","640","287","47","1"
"서울특별시 성동구 왕십리도선동(1120053500)","12,555","12,555","1,097","837","1,895","2,062","1,996","2,053","1,568","711","310","26","0","13,979","13,979","1,036","808","2,308","2,408","2,021","2,290","1,618","895","504","90","1"
"서울특별시 성동구 마장동(1120054000)","10,978","10,978","561","747","2,148","1,650","1,443","1,695","1,585","801","317","31","0","11,304","11,304","540","795","2,076","1,536","1,398","1,824","1,601","947","501","82","4"
"서울특별시 성동구 사근동(1120055000)","6,277","6,277","209","374","2,653","911","586","626","460","303","145","10","0","5,832","5,832","192","449","2,132","700","531","665","510","419","213","20","1"
"서울특별시 성동구 행당제1동(1120056000)","6,670","6,670","481","452","1,028","1,138","1,022","1,062","863","429","174","20","1","7,223","7,223","475","525","1,169","1,142","1,059","1,168","854","509","271","47","4"
"서울특별시 성동구 행당제2동(1120057000)","10,802","10,802","821","878","1,313","1,609","1,799","1,950","1,369","747","294","21","1","12,298","12,298","860","1,083","1,421","1,831","1,964","2,014","1,543","997","503","79","3"
"서울특별시 성동구 응봉동(1120058000)","7,258","7,258","567","797","836","1,009","1,301","1,217","812","485","218","16","0","7,941","7,941","500","772","865","1,068","1,455","1,254","963","659","361","44","0"
"서울특별시 성동구 금호1가동(1120059000)","7,184","7,184","602","553","810","1,128","1,276","1,126","976","503","191","19","0","7,897","7,897","577","523","818","1,285","1,273","1,217","1,172","628","357","44","3"
"서울특별시 성동구 금호2.3가동(1120061500)","10,668","10,668","859","643","1,356","1,883","1,770","1,700","1,409","739","278","29","2","11,791","11,791","817","675","1,312","2,051","1,829","1,910","1,624","963","530","76","4"
"서울특별시 성동구 금호4가동(1120062000)","6,741","6,741","652","485","684","1,113","1,290","1,045","856","438","161","14","3","7,504","7,504","615","455","704","1,351","1,283","1,071","1,039","620","322","41","3"
"서울특별시 성동구 옥수동(1120064500)","11,985","11,985","1,221","814","1,220","2,085","2,217","1,752","1,540","775","320","37","4","13,816","13,816","1,226","830","1,417","2,567","2,260","2,058","1,888","978","504","85","3"
"서울특별시 성동구 성수1가제1동(1120065000)","8,175","8,175","542","546","1,242","1,409","1,134","1,490","1,201","439","158","12","2","8,217","8,217","461","496","1,181","1,453","1,174","1,507","1,151","498","252","42","2"
"서울특별시 성동구 성수1가제2동(1120066000)","6,047","6,047","336","423","879","1,156","903","959","829","409","145","8","0","6,276","6,276","316","395","975","1,154","938","973","839","437","224","25","0"
"서울특별시 성동구 성수2가제1동(1120067000)","8,154","8,154","355","411","1,077","1,377","1,132","1,515","1,488","566","221","11","1","7,454","7,454","347","394","1,001","1,137","967","1,305","1,303","648","305","44","3"
"서울특별시 성동구 성수2가제3동(1120069000)","5,345","5,345","282","257","880","922","725","883","830","389","161","15","1","5,312","5,312","252","235","1,015","910","670","825","714","426","232","32","1"
"서울특별시 성동구 송정동(1120072000)","5,463","5,463","233","299","844","859","802","1,011","914","366","121","13","1","4,880","4,880","206","249","809","699","645","854","776","411","197","33","1"
"서울특별시 성동구 용답동(1120079000)","5,970","5,970","169","291","1,000","908","876","1,181","898","452","185","10","0","5,505","5,505","152","294","1,253","809","652","819","714","514","260","36","2"
"서울특별시 광진구 (1121500000)","163,920","163,920","8,812","12,448","28,722","27,189","24,670","26,339","21,154","10,249","3,973","348","16","175,973","175,973","8,333","12,184","32,663","27,481","25,464","27,505","23,217","12,180","5,954","953","39"
"서울특별시 광진구 화양동(1121571000)","11,296","11,296","170","326","4,529","2,452","1,182","1,132","830","462","197","15","1","12,427","12,427","172","433","5,966","2,216","954","947","885","547","263","42","2"
"서울특별시 광진구 군자동(1121573000)","9,652","9,652","394","506","2,135","1,847","1,312","1,393","1,195","636","223","11","0","9,844","9,844","361","474","2,265","1,771","1,208","1,351","1,296","700","361","55","2"
"서울특별시 광진구 중곡제1동(1121574000)","7,394","7,394","340","361","1,182","1,459","1,073","1,243","1,014","505","206","10","1","7,912","7,912","324","333","1,549","1,490","957","1,193","1,166","603","254","41","2"
"서울특별시 광진구 중곡제2동(1121575000)","10,002","10,002","494","663","1,638","1,800","1,474","1,600","1,389","676","254","13","1","11,218","11,218","489","647","2,008","1,966","1,497","1,835","1,585","801","326","64","0"
"서울특별시 광진구 중곡제3동(1121576000)","7,972","7,972","367","434","1,219","1,452","1,124","1,381","1,197","577","206","14","1","8,094","8,094","290","431","1,309","1,275","1,047","1,411","1,232","725","327","45","2"
"서울특별시 광진구 중곡제4동(1121577000)","13,811","13,811","632","948","2,117","2,068","1,956","2,451","2,164","1,092","360","20","3","14,451","14,451","571","835","2,100","1,999","1,917","2,729","2,410","1,267","545","75","3"
"서울특별시 광진구 능동(1121578000)","5,218","5,218","259","244","1,026","1,137","823","677","581","320","136","15","0","6,076","6,076","229","247","1,344","1,351","795","779","713","389","200","26","3"
"서울특별시 광진구 광장동(1121581000)","16,631","16,631","1,444","2,773","1,951","1,522","3,262","2,968","1,621","686","352","50","2","17,718","17,718","1,337","2,627","1,984","1,924","3,919","2,880","1,643","784","513","100","7"
"서울특별시 광진구 자양제1동(1121582000)","10,730","10,730","432","755","1,950","1,921","1,615","1,723","1,374","660","276","24","0","11,371","11,371","408","676","2,134","1,804","1,641","1,772","1,572","878","423","62","1"
"서울특별시 광진구 자양제2동(1121583000)","11,764","11,764","703","930","1,705","1,845","1,861","1,866","1,757","805","267","23","2","12,509","12,509","703","832","1,778","1,841","1,915","2,139","1,920","926","384","69","2"
"서울특별시 광진구 자양제3동(1121584000)","13,298","13,298","1,092","1,197","1,855","1,824","2,094","2,240","1,820","766","358","50","2","14,477","14,477","1,033","1,289","1,821","2,109","2,303","2,458","1,905","900","554","103","2"
"서울특별시 광진구 자양제4동(1121584700)","8,959","8,959","341","401","1,425","1,539","1,223","1,534","1,488","722","266","19","1","9,060","9,060","321","419","1,524","1,335","1,130","1,408","1,570","885","410","57","1"
"서울특별시 광진구 구의제1동(1121585000)","11,084","11,084","463","584","2,219","2,305","1,660","1,655","1,289","648","239","22","0","12,170","12,170","474","620","2,707","2,273","1,657","1,767","1,443","780","387","57","5"
"서울특별시 광진구 구의제2동(1121586000)","12,654","12,654","809","1,141","1,741","1,844","2,028","2,192","1,671","884","321","23","0","13,657","13,657","771","1,079","1,815","1,840","2,176","2,364","1,964","1,055","512","76","5"
"서울특별시 광진구 구의제3동(1121587000)","13,455","13,455","872","1,185","2,030","2,174","1,983","2,284","1,764","810","312","39","2","14,989","14,989","850","1,242","2,359","2,287","2,348","2,472","1,913","940","495","81","2"
"서울특별시 동대문구 (1123000000)","166,348","166,348","9,739","11,552","27,376","25,044","25,161","26,361","23,150","12,459","5,081","406","19","170,982","170,982","9,299","11,358","29,089","23,546","23,529","25,692","24,432","15,193","7,678","1,117","49"
"서울특별시 동대문구 용신동(1123053600)","16,318","16,318","700","742","2,868","3,054","2,395","2,506","2,343","1,153","519","37","1","16,393","16,393","684","700","3,601","2,904","2,034","2,159","2,142","1,345","721","100","3"
"서울특별시 동대문구 제기동(1123054500)","12,564","12,564","466","698","2,431","1,737","1,594","2,000","1,910","1,172","510","43","3","11,959","11,959","456","643","2,134","1,398","1,286","1,760","2,005","1,394","770","105","8"
"서울특별시 동대문구 전농제1동(1123056000)","14,483","14,483","858","906","2,273","2,007","2,191","2,469","2,202","1,079","466","31","1","14,429","14,429","816","922","2,178","1,941","1,904","2,345","2,122","1,377","712","105","7"
"서울특별시 동대문구 전농제2동(1123057000)","8,828","8,828","568","796","1,089","1,087","1,376","1,566","1,283","679","350","33","1","9,569","9,569","558","834","1,035","1,058","1,474","1,651","1,541","882","478","57","1"
"서울특별시 동대문구 답십리제1동(1123060000)","13,920","13,920","1,313","988","1,825","2,382","2,485","2,048","1,723","810","316","29","1","14,979","14,979","1,277","978","2,250","2,655","2,331","2,146","1,738","982","536","78","8"
"서울특별시 동대문구 답십리제2동(1123061000)","13,577","13,577","861","900","1,694","2,182","2,022","2,319","2,045","1,087","443","23","1","14,416","14,416","880","921","1,689","2,071","1,980","2,425","2,289","1,359","696","105","1"
"서울특별시 동대문구 장안제1동(1123065000)","18,851","18,851","1,208","1,312","2,403","3,140","3,216","2,974","2,672","1,439","451","35","1","19,254","19,254","1,095","1,271","2,766","3,001","2,983","2,950","2,893","1,548","646","95","6"
"서울특별시 동대문구 장안제2동(1123066000)","16,099","16,099","1,376","1,499","1,868","2,400","2,918","2,470","2,118","1,098","321","27","4","16,301","16,301","1,270","1,287","1,859","2,415","2,799","2,487","2,315","1,253","521","88","7"
"서울특별시 동대문구 청량리동(1123070500)","9,317","9,317","336","541","1,130","1,135","1,192","1,633","1,873","1,017","419","41","0","9,358","9,358","329","483","1,005","915","1,089","1,546","1,920","1,299","664","106","2"
"서울특별시 동대문구 회기동(1123071000)","5,100","5,100","191","319","1,635","812","632","611","463","274","148","13","2","5,510","5,510","187","365","1,839","679","627","595","539","386","251","42","0"
"서울특별시 동대문구 휘경제1동(1123072000)","6,649","6,649","390","371","1,538","1,159","878","932","753","421","192","15","0","7,394","7,394","391","429","2,129","1,063","798","979","770","540","249","44","2"
"서울특별시 동대문구 휘경제2동(1123073000)","12,038","12,038","573","1,016","2,905","1,524","1,642","1,813","1,407","823","301","33","1","12,045","12,045","511","1,057","2,585","1,317","1,682","1,754","1,594","994","488","61","2"
"서울특별시 동대문구 이문제1동(1123074000)","9,041","9,041","326","616","2,430","1,231","1,133","1,328","1,036","600","315","25","1","9,121","9,121","302","640","2,549","931","1,062","1,230","1,092","796","455","62","2"
"서울특별시 동대문구 이문제2동(1123075000)","9,563","9,563","573","848","1,287","1,194","1,487","1,692","1,322","807","330","21","2","10,254","10,254","543","828","1,470","1,198","1,480","1,665","1,472","1,038","491","69","0"
"서울특별시 중랑구 (1126000000)","191,433","191,433","10,770","12,790","26,252","29,631","28,857","33,137","29,684","14,551","5,361","380","20","197,076","197,076","10,216","12,389","27,569","28,057","26,740","33,820","31,554","17,353","8,084","1,243","51"
"서울특별시 중랑구 면목제2동(1126052000)","12,012","12,012","570","714","1,578","1,761","1,825","2,380","1,889","919","348","28","0","12,055","12,055","531","723","1,637","1,543","1,591","2,298","1,994","1,129","518","89","2"
"서울특별시 중랑구 면목제4동(1126054000)","9,380","9,380","516","621","1,241","1,362","1,512","1,620","1,434","773","272","28","1","9,433","9,433","458","558","1,161","1,232","1,373","1,611","1,566","1,038","398","37","1"
"서울특별시 중랑구 면목제5동(1126055000)","7,425","7,425","679","446","875","1,306","1,258","1,236","992","470","156","7","0","7,370","7,370","695","423","837","1,309","1,095","1,183","1,019","540","241","27","1"
"서울특별시 중랑구 면목본동(1126056500)","16,515","16,515","685","840","2,514","2,780","2,469","3,026","2,498","1,217","461","21","4","16,868","16,868","646","884","2,637","2,462","2,176","3,083","2,625","1,578","686","89","2"
"서울특별시 중랑구 면목제7동(1126057000)","10,847","10,847","602","588","1,424","1,681","1,619","1,866","1,794","944","307","22","0","10,779","10,779","498","557","1,446","1,559","1,435","1,867","1,856","1,043","441","75","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,150","12,150","493","693","1,756","1,819","1,739","2,258","1,980","1,019","365","27","1","12,332","12,332","465","661","1,752","1,591","1,560","2,269","2,190","1,212","548","80","4"
"서울특별시 중랑구 상봉제1동(1126058000)","11,549","11,549","796","992","1,586","1,761","1,716","1,956","1,729","708","288","17","0","12,227","12,227","813","848","1,638","1,739","1,718","2,165","1,859","905","457","82","3"
"서울특별시 중랑구 상봉제2동(1126059000)","9,783","9,783","373","390","1,720","2,303","1,313","1,527","1,290","610","233","23","1","10,474","10,474","381","321","2,447","2,244","1,207","1,488","1,319","711","306","46","4"
"서울특별시 중랑구 중화제1동(1126060000)","9,532","9,532","528","609","1,298","1,633","1,402","1,492","1,524","776","255","15","0","9,866","9,866","523","613","1,328","1,524","1,238","1,665","1,661","888","378","48","0"
"서울특별시 중랑구 중화제2동(1126061000)","12,712","12,712","542","567","1,783","1,918","1,777","2,462","2,225","996","420","21","1","12,059","12,059","435","522","1,795","1,760","1,469","2,172","2,083","1,162","593","68","0"
"서울특별시 중랑구 묵제1동(1126062000)","16,537","16,537","1,016","1,525","2,298","2,312","2,710","2,677","2,252","1,238","477","26","6","17,880","17,880","992","1,469","2,624","2,328","2,779","2,885","2,607","1,437","655","96","8"
"서울특별시 중랑구 묵제2동(1126063000)","9,103","9,103","457","568","1,265","1,398","1,410","1,584","1,389","740","273","18","1","9,441","9,441","429","518","1,334","1,331","1,354","1,595","1,600","858","379","42","1"
"서울특별시 중랑구 망우본동(1126065500)","17,617","17,617","1,249","1,033","2,283","2,930","2,605","2,888","2,833","1,313","441","39","3","17,950","17,950","1,185","1,093","2,555","2,780","2,277","2,835","2,827","1,501","768","122","7"
"서울특별시 중랑구 망우제3동(1126066000)","8,156","8,156","334","458","1,112","1,052","1,121","1,593","1,495","712","259","20","0","8,000","8,000","289","537","1,022","895","1,024","1,566","1,408","821","352","84","2"
"서울특별시 중랑구 신내1동(1126068000)","18,500","18,500","1,373","1,925","2,373","2,238","2,896","2,963","2,823","1,364","511","34","0","19,780","19,780","1,314","1,875","2,244","2,359","2,971","3,328","3,092","1,581","828","178","10"
"서울특별시 중랑구 신내2동(1126069000)","9,615","9,615","557","821","1,146","1,377","1,485","1,609","1,537","752","295","34","2","10,562","10,562","562","787","1,112","1,401","1,473","1,810","1,848","949","536","80","4"
"서울특별시 성북구 (1129000000)","208,790","208,790","13,697","18,571","31,569","29,158","33,016","34,715","26,879","14,335","6,313","523","14","224,769","224,769","13,174","17,955","34,332","29,240","34,290","35,590","30,352","18,590","9,640","1,546","60"
"서울특별시 성북구 성북동(1129052500)","7,641","7,641","343","574","1,223","1,214","1,111","1,296","1,000","517","311","50","2","8,763","8,763","359","543","1,447","1,298","1,284","1,447","1,108","735","436","101","5"
"서울특별시 성북구 삼선동(1129055500)","10,796","10,796","480","899","1,850","1,603","1,627","1,870","1,361","714","361","28","3","11,929","11,929","456","878","2,316","1,612","1,686","1,869","1,450","989","590","75","8"
"서울특별시 성북구 동선동(1129057500)","6,468","6,468","225","380","1,494","1,176","909","963","665","448","190","18","0","8,966","8,966","253","564","3,074","1,343","972","975","828","579","325","49","4"
"서울특별시 성북구 돈암제1동(1129058000)","6,748","6,748","368","577","863","922","913","1,279","1,014","564","232","16","0","7,717","7,717","369","586","1,021","983","1,049","1,362","1,203","693","392","54","5"
"서울특별시 성북구 돈암제2동(1129059000)","11,177","11,177","908","1,310","1,394","1,343","1,920","2,018","1,325","626","299","34","0","12,465","12,465","902","1,366","1,419","1,502","2,226","2,168","1,498","821","463","97","3"
"서울특별시 성북구 안암동(1129060000)","7,634","7,634","206","450","2,823","1,113","791","976","704","386","169","15","1","7,500","7,500","198","386","2,582","915","754","980","779","540","319","45","2"
"서울특별시 성북구 보문동(1129061000)","7,840","7,840","526","488","1,269","1,403","1,198","1,306","965","465","208","12","0","8,456","8,456","524","526","1,427","1,323","1,235","1,350","1,083","620","311","53","4"
"서울특별시 성북구 정릉제1동(1129062000)","8,670","8,670","693","856","1,098","1,204","1,476","1,385","1,087","582","269","20","0","9,401","9,401","623","845","1,111","1,247","1,577","1,489","1,235","789","421","62","2"
"서울특별시 성북구 정릉제2동(1129063000)","11,087","11,087","687","937","1,574","1,533","1,693","1,825","1,582","871","357","28","0","11,803","11,803","649","842","1,557","1,507","1,691","1,987","1,829","1,107","547","87","0"
"서울특별시 성북구 정릉제3동(1129064000)","7,648","7,648","281","530","1,839","1,055","864","1,133","1,013","628","279","25","1","7,675","7,675","251","470","1,411","814","894","1,172","1,283","824","473","80","3"
"서울특별시 성북구 정릉제4동(1129065000)","11,854","11,854","743","1,068","1,601","1,469","1,935","2,020","1,651","944","389","34","0","12,807","12,807","675","980","1,590","1,500","2,019","2,197","1,975","1,177","590","100","4"
"서울특별시 성북구 길음제1동(1129066000)","16,556","16,556","1,700","2,420","1,590","1,823","3,522","2,749","1,502","864","366","20","0","18,352","18,352","1,636","2,490","1,723","2,225","3,933","2,615","1,862","1,215","540","108","5"
"서울특별시 성북구 길음제2동(1129068500)","10,288","10,288","1,080","1,024","1,170","1,462","1,829","1,738","1,181","587","199","18","0","11,087","11,087","1,018","947","1,302","1,600","2,024","1,737","1,357","695","338","67","2"
"서울특별시 성북구 종암동(1129070500)","19,020","19,020","1,201","1,946","2,903","2,500","2,986","3,144","2,430","1,200","636","70","4","19,425","19,425","1,147","1,580","2,617","2,378","3,117","3,183","2,589","1,662","974","173","5"
"서울특별시 성북구 월곡제1동(1129071500)","12,625","12,625","888","1,246","1,395","1,680","2,174","2,139","1,739","934","397","33","0","13,559","13,559","895","1,281","1,570","1,714","2,208","2,123","1,940","1,207","545","76","0"
"서울특별시 성북구 월곡제2동(1129072500)","9,300","9,300","492","743","1,479","1,378","1,348","1,493","1,336","700","312","18","1","10,042","10,042","437","717","2,010","1,265","1,355","1,455","1,392","889","451","69","2"
"서울특별시 성북구 장위제1동(1129076000)","11,797","11,797","826","944","1,663","1,741","1,854","2,016","1,672","760","297","23","1","12,280","12,280","827","913","1,606","1,568","1,830","2,135","1,860","977","500","62","2"
"서울특별시 성북구 장위제2동(1129077000)","6,717","6,717","290","424","935","929","972","1,214","1,041","635","261","16","0","6,923","6,923","264","402","965","877","834","1,173","1,214","759","384","49","2"
